wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q7570538,,,1969,https://www.stust.edu.tw/
Q141137298,,,2002,https://vsit.edu.in
Q141195542,,,1999,https://www.citycollege.edu.my
Q30294828,,,,
Q12185356,,,1987,
Q6733237,,,1941,
Q6349290,,,1961,https://www.kmcwgl.com/
Q141194760,,,1970,https://www.scphpl.ac.th
Q11815233,,,2001,
Q131428201,,,,https://www.isa.ulisboa.pt/cef/
Q3467465,,,1909,
Q59536750,,,1925,
Q8054624,,,1966,https://www.yokohama-art.ac.jp/
Q5109336,,,2006,https://congoinitiative.org/
Q30265650,,,2009,https://www.unsut.ac.id/
Q140876635,,,,https://www.cesa.catholic.edu.au
Q6820757,,,2008,
Q52635489,,,,
Q7886160,,,1853,
Q30262709,,,1984,
Q109913233,,,2007,https://www.staisyaichona.ac.id
Q1303297,,,1865,
Q4828842,1414,,1916,
Q5909476,6136,,1968,https://www.hostos.cuny.edu/
Q4203331,,,1931,
Q50357830,,,1980,
Q915989,5410,,1875,
Q2496012,,,1962,https://uganc.edu.gn/
Q1278253,12130,,1882,
Q2525060,,,,
Q30293846,,,,
Q30253855,,,,
Q60786040,,,2008,
Q3595872,,,1918,https://www.dbhpscentral.org/index.html
Q1422458,,,1966,https://www.bath.ac.uk/
Q10917240,,,,
Q30264870,,,1999,https://english.hzvtc.net.cn/
Q29980350,,,,
Q7163296,,,1965,
Q5665208,15376,,1964,https://www.hacc.edu/
Q20426861,,,2006,https://unpkediri.ac.id
Q11524812,,,1965,
Q7929576,,,1957,https://www.vikramuniv.ac.in
Q261894,,,1969,https://www.jct.ac.il/
Q7150086,1237,,1970,
Q30293812,,,,
Q141195458,,,,https://kkmanjung.mypolycc.edu.my
Q4979801,,,1998,
Q7573895,708,,1928,
Q30294450,,,,
Q7646254,,,1942,
Q7142508,5549,,1971,
Q109919136,,,2008,https://www.nuruliman.or.id
Q5380357,1808,,1965,
Q30266549,,,2008,https://www.uoj.ac.ae/en/
Q109919480,,,2016,https://stikes-ghs.ac.id
Q1034369,,,1986,https://cctu.edu.gh/
Q56394000,,,2020,
Q133810662,,,2011,https://upsrj.edu.mx
Q77084436,,,2008,https://www.eusmat.net/
Q5150130,7877,,1958,
Q623795,,,1977,
Q7880765,,,1948,
Q128123063,,,2011,https://uttehuacan.edu.mx
